CRN,Course,Section,Title,Days,Times,Instructor,Loc,Class Info
20460,EWRT 2,54Z,"Critical Reading, Writing and ThinkingView Footnote",·······,TBA-TBA,Dave Denny,ONLINE,OL
21932,EWRT 2,55Z,"Critical Reading, Writing and ThinkingView Footnote",·······,TBA-TBA,Sarah Lisha,ONLINE,OL
23123,EWRT 2,56Z,"Critical Reading, Writing and ThinkingView Footnote",·······,TBA-TBA,Sarah Lisha,ONLINE,OL
22446,EWRT 2,57Z,"Critical Reading, Writing and ThinkingView Footnote",·······,TBA-TBA,Luis Limcolioc,ONLINE,$0OL
24410,EWRT 2,58Z,"Critical Reading, Writing and ThinkingView Footnote",·······,TBA-TBA,Luis Limcolioc,ONLINE,$0OL
24576,EWRT 2,59Z,"Critical Reading, Writing and ThinkingView Footnote",·······,TBA-TBA,Yeganeh Modirzadeh,ONLINE,OL
00930,EWRT 2,60Z,"Critical Reading, Writing and ThinkingView Footnote",·······,TBA-TBA,Charles Gray,ONLINE,OL
24411,EWRT 2,61Z,"Critical Reading, Writing and ThinkingView Footnote",·······,TBA-TBA,Husne Jahan,ONLINE,OL
00916,EWRT 2,62Z,"Critical Reading, Writing and ThinkingView Footnote",·······,TBA-TBA,Marc Coronado,ONLINE,OL
21318,EWRT 2,63Z,"Critical Reading, Writing and ThinkingView Footnote",·······,TBA-TBA,Alex Giardino,ONLINE,OL
00924,EWRT 2,66Z,"Critical Reading, Writing and ThinkingView Footnote",·······,TBA-TBA,Amy Leonard,ONLINE,OL
27874,EWRT 2H,50Z,"Critical Reading, Writing and Thinking - HONORSView Footnote",·······,TBA-TBA,Alex Giardino,ONLINE,OL
27875,EWRT 2H,51Z,"Critical Reading, Writing and Thinking - HONORSView Footnote",·······,TBA-TBA,Alex Giardino,ONLINE,OL
27876,EWRT 2H,63Z,"Critical Reading, Writing and Thinking - HONORSView Footnote",·······,TBA-TBA,Alex Giardino,ONLINE,OL
26798,EWRT 30,01Y,Introduction to Creative WritingView Footnote,··W····,11:30 AM-01:20 PM,Alex Giardino,L45,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24412,EWRT 30,51Z,Introduction to Creative WritingView Footnote,·······,TBA-TBA,Jennifer Penkethman,ONLINE,OL
01031,F/TV 1,01,Introduction to Cinematic ArtsView Footnote,M······,12:30 PM-04:20 PM,Christina Wright,FOR3,
01033,F/TV 1,02L,Introduction to Cinematic ArtsView Footnote,·······,TBA-TBA,Kristen Anderson,ONLINE,
01032,F/TV 1,51Z,Introduction to Cinematic ArtsView Footnote,·······,TBA-TBA,Ingrid Schulz,ONLINE,OL
26328,F/TV 1,52Z,Introduction to Cinematic ArtsView Footnote,·······,TBA-TBA,Ingrid Schulz,ONLINE,OL
02513,F/TV 2A,50Z,History of Cinema (1895-1950)View Footnote,·······,TBA-TBA,Christina Wright,ONLINE,OL
01035,F/TV 2B,50Z,History of Cinema (1950-Present)View Footnote,·······,TBA-TBA,Kristen Anderson,ONLINE,OL
26500,F/TV 2B,51Z,History of Cinema (1950-Present)View Footnote,·······,TBA-TBA,Christina Wright,ONLINE,OL
24747,F/TV 10,01Z,Introduction to Electronic MediaView Footnote,·T·····,10:30 AM-02:20 PM,Joel Abramson,ONLINE,OL
26499,F/TV 75G,50Z,History of Animation (1900-Present)View Footnote,·······,TBA-TBA,Mark Hamer,ONLINE,OL
27605,FREN 1,01Z,Elementary French (First Quarter)View Footnote,M·W····,12:30 PM-02:20 PM,Loubna Hafid,ONLINE,OL
CLAS,·······,TBA-TBA,,,,,,
01076,FREN 1,40Z,Elementary French (First Quarter)View Footnote,M·W····,06:30 PM-08:45 PM,Loubna Hafid,ONLINE,OL
01087,GEO 1,01Y,Physical GeographyView Footnote,M·W····,10:30 AM-11:20 AM,Purba Fernandez,L23,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
01086,GEO 1,02Y,Physical GeographyView Footnote,M·W····,11:30 AM-12:20 PM,Purba Fernandez,L23,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
23396,GEO 1,50Z,Physical GeographyView Footnote,·······,TBA-TBA,Sohini Dutt,ONLINE,OL
27661,GEO 4,50Z,Cultural GeographyView Footnote,·······,TBA-TBA,Kerry Rohrmeier,ONLINE,$LOL
22794,GEO 10,50Z,World Regional GeographyView Footnote,·······,TBA-TBA,Sohini Dutt,ONLINE,OL
22240,GEO 10,62Z,World Regional GeographyView Footnote,·······,TBA-TBA,Eileen Pena,ONLINE,OL
24095,GEO 10,65Z,World Regional GeographyView Footnote,·······,TBA-TBA,Eileen Pena,ONLINE,OL
27004,GEOL 10,01,Introductory GeologyView Footnote,·T·R···,10:30 AM-12:20 PM,Marek Cichanski,S15,
LAB,·T·····,01:30 PM-04:20 PM,,,,,,
01092,GEOL 10,50Z,Introductory GeologyView Footnote,·······,TBA-TBA,Chris Dileonardo,ONLINE,OL
LAB,·······,TBA-TBA,,,,,,
01093,GEOL 10,51Z,Introductory GeologyView Footnote,·······,TBA-TBA,Chris Dileonardo,ONLINE,OL
LAB,·······,TBA-TBA,,,,,,
27753,GEOL 10,52Z,Introductory GeologyView Footnote,·······,TBA-TBA,Chris Dileonardo,ONLINE,OL
LAB,·······,TBA-TBA,,,,,,
02626,GEOL 20,60Z,General OceanographyView Footnote,·······,TBA-TBA,Chris Dileonardo,ONLINE,OL
20581,GERM 1,40Z,Elementary German (First Quarter)View Footnote,·T·R···,06:30 PM-08:45 PM,Maike Ahrends,ONLINE,OL
26324,GERM 1,41Z,Elementary German (First Quarter)View Footnote,M·W····,06:30 PM-08:45 PM,Maike Ahrends,ONLINE,OL
25284,HIST 3A,50Z,World History from Prehistory to 750 CEView Footnote,·······,TBA-TBA,Greg Knittel,ONLINE,OL
25866,HIST 3A,51Z,World History from Prehistory to 750 CEView Footnote,·······,TBA-TBA,Raeann Ramsey,ONLINE,OL
25287,HIST 3B,50Z,World History from 750 to 1750 CEView Footnote,·······,TBA-TBA,Christopher Jackson,ONLINE,OL
27745,HIST 3B,51Z,World History from 750 to 1750 CEView Footnote,·······,TBA-TBA,Rashi Jackman,ONLINE,OL
27856,HIST 3BH,50Z,World History from 750 to 1750 CE - HONORSView Footnote,·······,TBA-TBA,Christopher Jackson,ONLINE,OL
25868,HIST 3C,50Z,World History from 1750 CE to the PresentView Footnote,·······,TBA-TBA,Christopher Jackson,ONLINE,OL
27746,HIST 3C,51Z,World History from 1750 CE to the PresentView Footnote,·······,TBA-TBA,George Edgar,ONLINE,OL
27857,HIST 3CH,50Z,World History from 1750 CE to the Present - HONORSView Footnote,·······,TBA-TBA,Christopher Jackson,ONLINE,OL
24096,HIST 6A,50Z,History of Western Civilization: Pre-History to 750 C.E.View Footnote,·······,TBA-TBA,Ben Kline,ONLINE,OL
27747,HIST 6C,50Z,History of Western Civilization: 1750 C.E. to PresentView Footnote,·······,TBA-TBA,Ben Kline,ONLINE,OL
27060,HIST 9,01Z,Women in American HistoryView Footnote,M·W····,01:30 PM-03:20 PM,Anne Hickling,ONLINE,OL
26702,HIST 17A,01,History of the United States to Early National EraView Footnote,·T·R···,10:30 AM-12:20 PM,Carol Cini,L26,
27749,HIST 17A,02,History of the United States to Early National EraView Footnote,MTWR···,12:30 PM-01:20 PM,Mylinh Pham,L72,
24322,HIST 17A,51Z,History of the United States to Early National EraView Footnote,·······,TBA-TBA,Carol Cini,ONLINE,OL
01132,HIST 17A,53Z,History of the United States to Early National EraView Footnote,·······,TBA-TBA,Greg Knittel,ONLINE,OL
24768,HIST 17A,62Z,History of the United States to Early National EraView Footnote,·······,TBA-TBA,Carol Cini,ONLINE,OL
27855,HIST 17AH,02,History of the United States to Early National Era - HONORSView Footnote,MTWR···,12:30 PM-01:20 PM,Mylinh Pham,L72,
25872,HIST 17B,01,History of the United States from 1800 to 1900View Footnote,M·W····,10:30 AM-12:20 PM,Mylinh Pham,L72,
26703,HIST 17B,02L,History of the United States from 1800 to 1900View Footnote,····F··,01:30 PM-05:20 PM,Greg Knittel,FOR4,
23409,HIST 17B,52Z,History of the United States from 1800 to 1900View Footnote,·······,TBA-TBA,Hai Nguyen,ONLINE,OL
26838,HIST 17B,53Z,History of the United States from 1800 to 1900View Footnote,·······,TBA-TBA,Greg Knittel,ONLINE,OL
27750,HIST 17B,54Z,History of the United States from 1800 to 1900View Footnote,·······,TBA-TBA,Christopher Jackson,ONLINE,OL
27893,HIST 17BH,01,History of the United States from 1800 to 1900 - HONORSView Footnote,M·W····,10:30 AM-12:20 PM,Mylinh Pham,L72,
27892,HIST 17BH,54Z,History of the United States from 1800 to 1900 - HONORSView Footnote,·······,TBA-TBA,Christopher Jackson,ONLINE,OL
26458,HIST 17C,01,History of the United States from 1900 to the PresentView Footnote,MTWR···,09:30 AM-10:20 AM,Mylinh Pham,L72,
26701,HIST 17C,02,History of the United States from 1900 to the PresentView Footnote,·T·R···,01:30 PM-03:20 PM,Carol Cini,L26,
24770,HIST 17C,50Z,History of the United States from 1900 to the PresentView Footnote,·······,TBA-TBA,Christopher Jackson,ONLINE,OL
25279,HIST 17C,52Z,History of the United States from 1900 to the PresentView Footnote,·······,TBA-TBA,David Howard-Pitney,ONLINE,OL
24886,HIST 17C,55Z,History of the United States from 1900 to the PresentView Footnote,·······,TBA-TBA,Carol Cini,ONLINE,OL
25276,HIST 17C,58Z,History of the United States from 1900 to the PresentView Footnote,·······,TBA-TBA,Raeann Ramsey,ONLINE,OL
24098,HIST 17C,59Z,History of the United States from 1900 to the PresentView Footnote,·······,TBA-TBA,Hai Nguyen,ONLINE,OL
27854,HIST 17CH,01,History of the United States from 1900 to the Present - HONORSView Footnote,MTWR···,09:30 AM-10:20 AM,Mylinh Pham,L72,
26421,HIST 18A,60Z,African American History to 1865View Footnote,·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL
27844,HLTH 21,01Z,Contemporary Health ConcernsView Footnote,··W····,01:35 PM-03:00 PM,Alison Campbell,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
26055,HLTH 21,01GZ,Contemporary Health ConcernsView Footnote,··W····,01:35 PM-03:00 PM,Alison Campbell,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
26792,HLTH 21,51Z,Contemporary Health ConcernsView Footnote,·······,TBA-TBA,Barbara Liechty,ONLINE,$0OLLQ
26795,HLTH 21,52Z,Contemporary Health ConcernsView Footnote,·······,TBA-TBA,Barbara Liechty,ONLINE,$0OL
27786,HLTH 21,53Z,Contemporary Health ConcernsView Footnote,·······,TBA-TBA,Barbara Liechty,ONLINE,$0OLLQ
01160,HNDI 1,40Z,Elementary Hindi (First Quarter)View Footnote,·T·R···,06:00 PM-08:15 PM,Nilu Gupta,ONLINE,OL
27771,HUMA 10,01,Human SexualityView Footnote,M·W····,10:00 AM-11:50 AM,Fran Jackler,MCC-13,
24520,HUMA 10,01Z,Human SexualityView Footnote,·······,TBA-TBA,Pauline Wethington,ONLINE,OL
24960,HUMA 10,04Z,Human SexualityView Footnote,··W····,09:30 AM-10:20 AM,Kevin Glapion,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
24696,HUMA 10,65Z,Human SexualityView Footnote,·······,TBA-TBA,Herminio Hernando,ONLINE,OL
27884,HUMA 10H,01,Human Sexuality - HONORSView Footnote,M·W····,10:00 AM-11:50 AM,Fran Jackler,MCC-13,
26517,HUMA 20,01Z,Life Skills for Higher EducationView Footnote,····F··,09:00 AM-10:50 AM,Melinda Hughes,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
27443,HUMA 20,02Z,Life Skills for Higher EducationView Footnote,·······,TBA-TBA,"JOPLIN-LIGHTFOOTE, NATASHA",ONLINE,OL
27773,HUMA 20,01GF,Life Skills for Higher EducationView Footnote,··W·F··,11:15 AM-01:10 PM,Trisha Tran,CUPHS,OC
27772,HUMA 30,01Y,Understanding and Managing StressView Footnote,·T·····,10:00 AM-11:50 AM,Kevin Glapion,MCC-13,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
25223,HUMA 30,01Z,Understanding and Managing StressView Footnote,·T·····,10:30 AM-11:20 AM,Shireen Woo,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
25216,HUMA 30,62Z,Understanding and Managing StressView Footnote,·······,TBA-TBA,KD Huynh,ONLINE,OL
26387,HUMI 1,01S,Creative MindsView Footnote,·T·····,10:30 AM-12:20 PM,Lori Clinchard,MLC110,CS
CLAS,·······,TBA-TBA,,ONLINE,,,,
23401,HUMI 1,01Y,Creative MindsView Footnote,M······,10:30 AM-12:20 PM,Wendy White,G4,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
22235,HUMI 1,02Y,Creative MindsView Footnote,M······,01:30 PM-03:20 PM,Wendy White,G4,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
26388,HUMI 1,03Y,Creative MindsView Footnote,M······,03:30 PM-05:20 PM,Gening Jin,ADM101,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
26389,HUMI 1,04Y,Creative MindsView Footnote,M······,05:30 PM-07:20 PM,Alysia Rueda,ADM101,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
01214,HUMI 1,05Y,Creative MindsView Footnote,·T·····,09:30 AM-11:20 AM,Andrew Wood,ADM101,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
01215,HUMI 1,07Y,Creative MindsView Footnote,·T·····,11:30 AM-01:20 PM,Andrew Wood,ADM101,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
25879,HUMI 1,09Y,Creative MindsView Footnote,·T·····,03:30 PM-05:20 PM,Gening Jin,ADM101,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
20282,HUMI 1,11Y,Creative MindsView Footnote,··W····,09:30 AM-11:20 AM,Apryl Berney,ADM101,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
27009,HUMI 1,12Y,Creative MindsView Footnote,··W····,11:30 AM-01:20 PM,Andrew Wood,ADM101,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
01216,HUMI 1,50Z,Creative MindsView Footnote,·······,TBA-TBA,Lori Clinchard,ONLINE,OL
01221,HUMI 1,51Z,Creative MindsView Footnote,·······,TBA-TBA,Barbara Hoffman,ONLINE,OL
22801,HUMI 1,52Z,Creative MindsView Footnote,·······,TBA-TBA,Alysia Rueda,ONLINE,OL
27716,HUMI 1,53Z,Creative MindsView Footnote,·······,TBA-TBA,Raeann Ramsey,ONLINE,OL
23163,HUMI 1,54Z,Creative MindsView Footnote,·······,TBA-TBA,Apryl Berney,ONLINE,OL
22238,HUMI 1,55Z,Creative MindsView Footnote,·······,TBA-TBA,Lori Clinchard,ONLINE,OL
26386,HUMI 1,56Z,Creative MindsView Footnote,·······,TBA-TBA,Elvin Ramos,ONLINE,OL
24524,HUMI 1,57Z,Creative MindsView Footnote,·······,TBA-TBA,Alysia Rueda,ONLINE,OL
27311,HUMI 1,58Z,Creative MindsView Footnote,·······,TBA-TBA,"ACIDO, JEFFREY",ONLINE,OL
27968,HUMI 1H,01S,Creative Minds - HONORSView Footnote,·T·····,10:30 AM-12:20 PM,Lori Clinchard,MLC110,CS
CLAS,·······,TBA-TBA,,ONLINE,,,,
27894,HUMI 1H,01Y,Creative Minds - HONORSView Footnote,M······,10:30 AM-12:20 PM,Wendy White,G4,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
27895,HUMI 1H,02Y,Creative Minds - HONORSView Footnote,M······,01:30 PM-03:20 PM,Wendy White,G4,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
27969,HUMI 1H,50Z,Creative Minds - HONORSView Footnote,·······,TBA-TBA,Lori Clinchard,ONLINE,OL
27970,HUMI 1H,55Z,Creative Minds - HONORSView Footnote,·······,TBA-TBA,Lori Clinchard,ONLINE,OL
27717,HUMI 5,50Z,Storytelling in American CultureView Footnote,·······,TBA-TBA,Wendy White,ONLINE,OLLQ
24690,HUMI 6,01MY,Popular CultureView Footnote,·T·····,10:30 AM-12:20 PM,Javier Galindo,ONLINE,HY
CLAS,···R···,10:30 AM-12:20 PM,,G4,,,,
27011,HUMI 6,02MY,Popular CultureView Footnote,·T·····,12:30 PM-02:20 PM,Javier Galindo,ONLINE,HY
CLAS,···R···,12:30 PM-02:20 PM,,G10,,,,
25221,HUMI 6,50Z,Popular CultureView Footnote,·······,TBA-TBA,Raeann Ramsey,ONLINE,OL
20283,HUMI 6,51Z,Popular CultureView Footnote,·······,TBA-TBA,Apryl Berney,ONLINE,OL
01225,HUMI 7,50Z,The Arts and the Human SpiritView Footnote,·······,TBA-TBA,Rashi Jackman,ONLINE,OL
25875,HUMI 9,50Z,Introduction to Comparative ReligionView Footnote,·······,TBA-TBA,Javier Galindo,ONLINE,OL
25798,HUMI 13,61Z,Introduction to Korean Popular CultureView Footnote,·······,TBA-TBA,Young Jung,ONLINE,OL
27718,HUMI 15,50Z,Discussion on the ArtsView Footnote,·······,TBA-TBA,Barbara Hoffman,ONLINE,OL
27006,HUMI 16,01Z,"Arts, Ideas and ValuesView Footnote",M······,09:30 AM-10:20 AM,Barbara Hoffman,ONLINE,OL
CLAS,·······,TBA-TBA,,,,,,
01239,HUMI 16,50Z,"Arts, Ideas and ValuesView Footnote",·······,TBA-TBA,Leslie Berry,ONLINE,OL
23164,HUMI 16,51Z,"Arts, Ideas and ValuesView Footnote",·······,TBA-TBA,Leslie Berry,ONLINE,OL
26393,HUMI 20,01MY,The Greek AchievementView Footnote,M······,01:30 PM-03:20 PM,Gening Jin,ADM101,HY
CLAS,··W····,01:30 PM-03:20 PM,,ONLINE,,,,
25878,HUMI 20,50Z,The Greek AchievementView Footnote,·······,TBA-TBA,Rashi Jackman,ONLINE,OL
27956,ICS 7,01Y,Intercultural CommunicationView Footnote,M······,09:30 AM-11:20 AM,Nick Chivers,MLC111,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27957,ICS 7,02Y,Intercultural CommunicationView Footnote,··W····,09:30 AM-11:20 AM,Thalia Bobadilla,MLC111,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26486,ICS 25,50Z,"Grassroots Democracy: Race, Politics and the American PromiseView Footnote",·······,TBA-TBA,Laura Chin,ONLINE,OL
27057,ICS 27,01EZ,Grassroots Democracy: Leadership and PowerView Footnote,·T·R···,06:00 PM-07:50 PM,Cynthia Kaufman,ONLINE,OL
27720,INTL 8,50Z,Sociology of Globalization and Social ChangeView Footnote,·······,TBA-TBA,Kamau Birago,ONLINE,OL
27623,INTL 22,60Z,"History of Art: Arts of Africa, Oceania and Native North AmericaView Footnote",·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL
27606,ITAL 1,01Y,Elementary Italian (First Quarter)View Footnote,·T·R···,06:00 PM-07:50 PM,Diana Ferrara,MLC112,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
26321,ITAL 1,02Z,Elementary Italian (First Quarter)View Footnote,M·W····,06:00 PM-07:50 PM,Diana Ferrara,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
01314,JAPN 1,40,Elementary Japanese (First Quarter)View Footnote,·T·R···,06:30 PM-08:45 PM,Min-Jin Kuo,MLC113,
01313,JAPN 1,40Z,Elementary Japanese (First Quarter)View Footnote,M·W····,04:00 PM-06:15 PM,Yumi Mccormick,ONLINE,OL
01312,JAPN 1,41,Elementary Japanese (First Quarter)View Footnote,·T·R···,04:00 PM-06:15 PM,Renshi Xuan,MLC113,
01321,JOUR 2,01Y,Media and Its Impact On SocietyView Footnote,M······,11:30 AM-01:20 PM,Newsha Naderzad,L42,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
21817,JOUR 2,02Y,Media and Its Impact On SocietyView Footnote,·T·····,09:30 AM-11:20 AM,Newsha Naderzad,L42,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
01324,JOUR 2,52Z,Media and Its Impact On SocietyView Footnote,·······,TBA-TBA,Gail McElroy,ONLINE,OL
25567,JOUR 2,53Z,Media and Its Impact On SocietyView Footnote,·······,TBA-TBA,Gail McElroy,ONLINE,OL
27796,KNES 1B,02,Beginning SwimmingView Footnote,·T·R···,11:30 AM-12:20 PM,Danielle Altman,POOLM,
27797,KNES 1C,02,Intermediate SwimmingView Footnote,·T·R···,11:30 AM-12:20 PM,Danielle Altman,POOLM,
26560,KNES 5AX,01,Indoor CyclingView Footnote,·T·R···,09:30 AM-10:45 AM,Rusty Johnson,PE14,
27082,KNES 5AX,02,Indoor CyclingView Footnote,M·W····,09:30 AM-10:45 AM,Rusty Johnson,PE14,
27126,KNES 5AX,03,Indoor CyclingView Footnote,M·W····,07:00 AM-08:15 AM,Rachel Catuiza,PE14,
26561,KNES 5BX,01,High Intensity Indoor CyclingView Footnote,·T·R···,09:30 AM-10:45 AM,Rusty Johnson,PE14,
27083,KNES 5BX,02,High Intensity Indoor CyclingView Footnote,M·W····,09:30 AM-10:45 AM,Rusty Johnson,PE14,
27128,KNES 5BX,03,High Intensity Indoor CyclingView Footnote,M·W····,07:00 AM-08:15 AM,Rachel Catuiza,PE14,
26594,KNES 6AX,51Z,Aerobic Power WalkingView Footnote,·······,TBA-TBA,Rachel Catuiza,ONLINE,OLLQ
27136,KNES 6AX,52Z,Aerobic Power WalkingView Footnote,·······,TBA-TBA,Jason Damjanovic,ONLINE,OL
27141,KNES 11AX,50Z,Cardio KickView Footnote,·······,TBA-TBA,Rachel Catuiza,ONLINE,OLLQ
26673,KNES 12D,01,Beginning KarateView Footnote,M·W····,06:00 PM-06:50 PM,Pete Rabbitt,PE15,
